,city,public transportation,driving and traffic,job opportunites and economy,education,culture and art,recreations,climates,crime,government,neighbors,opportunities
0,NYC,-0.012360620961852161,-0.40082794788677145,-0.008084799717829234,0.4842787217470762,0.5081001684539217,0.5404140968892451,0.0368411000763942,-0.7875155152267658,-0.17152734367009856,-0.06363565162907267,0.469047619047619
1,Los Angeles,0.19766768071852817,-0.4401464548523372,0.3404741826561126,0.459703947368421,0.5782828282828283,0.8460606060606061,0.5365853658536586,-0.7575816320775999,-0.21424781056117456,0.23777457110790443,0.3065677013045434
2,Chicago,0.03094128094128095,-0.20760802886022375,0.16006371710676726,0.2909118731880938,0.6431961466076606,0.7689497355308386,-0.17417894794943975,-0.9422348990708366,-0.28260934643772534,-0.1287725275576938,0.28159554291133243
3,Dallas,-0.0301388698447522,-0.27114493495307446,0.3914890607348846,0.6331161827818429,0.8640847070875,0.8270970428430606,-0.15351966873706002,-1.1066666666666667,-0.3069910087883001,0.2121813371813372,0.7000000000000001
4,Houston,-0.167150357205002,-0.2914039818536293,0.39833761044821936,0.6074846206425153,0.8187049667457834,0.8239240554274404,-0.035719032429558734,-1.118670143415906,-0.2691152510201219,0.20275297619047622,0.36529343444694945
5,Miami,0.29297719087635055,-0.21628289406067183,0.2858400001492107,0.7640056022408963,0.4726529160739687,0.8235091804663144,-0.14229614229614226,-0.7383900928792569,-0.47919788544788544,0.6153846153846154,0.41666666666666663
6,Philadelphia,0.8178571428571428,-0.2652595029239766,-0.039361161811523,0.49657698156952923,0.5513056835637481,0.7814888225832485,0.19047619047619047,-1.0334619093539057,-0.41500710227272725,-0.10176282051282051,0.11333333333333334
7,Atlanta,0.06828883015520691,-0.47905691098171016,0.2533657100534288,0.6734466151132819,0.8205133228840126,0.8335574036900828,-0.05398212898212898,-0.9673266045548655,-0.1560059512283155,0.36346782302664654,0.5530716313859578
8,Phoenix,0.4646320346320346,-0.2791043631623342,0.6588778968705077,0.6588752275371994,0.8038731940144478,0.9180098642594555,-0.18425353925353927,-0.5416666666666666,-0.39968078553867625,0.5359578614054318,0.8571428571428572
9,Boston,0.09963675293907408,-0.3495012578171572,0.27026006858862783,0.6978675144998885,0.7856893747170116,0.7311326270240122,0.06578947368421052,-0.7696053946053946,-0.1869469057403371,0.3486154454712249,0.47416877104377103
10,San Francisco,0.3953275406763779,-0.5524137698050741,0.12040892847969453,0.2636916835699797,0.2929724596391263,0.518070471431816,0.56,-0.8246522640675866,-0.18343158159052167,-0.012359068627450984,0.5171428571428571
11,Detroit,0.15236565243140557,-0.1430418281653747,0.29202230935920953,0.46826118123733834,0.744790864183697,0.8184930144101972,0.25471698113207547,-0.9493097497842968,-0.21284044111613243,0.4619592927547179,0.5477128517189369
12,Seattle,0.09316642858792677,-0.5169578406661101,0.08349217586144386,0.559304920431681,0.6143788185721478,0.7539983267414183,-0.02876984126984128,-0.8196445037033024,-0.2580990586255219,0.2539559125085441,0.1600746154317583
13,Minneapolis,0.06410984848484849,-0.20426487093153758,0.4420765297977896,0.5560224089635855,0.7224416208791209,0.8259873224596983,0.046875,-0.799812030075188,-0.34790823211875843,0.4024064171122994,0.25
14,San Diego,0.6840312628547923,-0.3272932527242872,0.40959910082223644,0.7676051051051052,0.7798076923076923,0.7123992456193636,0.7906137184115524,-0.9931944444444445,-0.3201913889171864,0.2955515359879584,0.4477267965640059
15,Denver,0.15496033847586682,-0.18631687486223097,0.3777530009118514,0.7290944471049039,0.7475379201600125,0.8021719333643496,0.047317439089108536,-0.6883143217326891,-0.3885149650484044,0.39529405979543664,0.484652436447424
16,St. Louis,0.6895424836601307,-0.10530175706646297,0.2519892282425342,0.8515837790675619,0.7775705178328751,0.8828904084718039,0.022727272727272728,-0.8372614297389549,-0.24466798712488366,0.5667463092463092,0.6456457039337473
17,Baltimore,0.09308312642222584,-0.26283196548821547,0.11676438126724194,0.48419403295380387,0.761972997766566,0.8348685307844971,0.17777777777777778,-0.8822780524236684,-0.2629576975756181,0.04679526513976233,0.5321924603174603
18,Charlotte,0.33198051948051943,-0.4084047412068275,0.43838637137312253,0.6344988344988346,0.5269480519480519,0.8269174779819433,0.28205128205128205,-0.8518518518518519,-0.40037326588779854,0.5277777777777778,0.4615295815295815
19,Orlando,0.41434246112238,-0.3254206349206349,0.44714397176465603,0.9965034965034966,0.7155172413793103,0.7689832261719752,-0.07142857142857144,-0.65,-0.49294624294624284,0.8918918918918919,0.7619047619047619
20,San Antonio,1.0,-0.30707070707070705,0.37828652828652826,0.8782051282051282,0.728219696969697,0.6973736394911617,0.21052631578947367,-1.0526315789473684,-0.5260799260799262,0.90625,0.8461538461538461
21,Portland,0.42635558100488175,-0.3082849345271706,0.21228726350737534,0.6291656789538146,0.37860902255639095,0.6257354238294167,0.23634453781512607,-0.6783297599517196,-0.12630313494722584,0.13967505241090145,0.5591425403731904
22,Sacramento,0.41573634830276196,-0.19703921568627453,0.47016929306440747,0.8522727272727273,0.7226495726495726,0.7570838217488123,0.6428571428571429,-0.5269886363636364,-0.40499108734402856,0.4931372549019608,0.8117159907441237
23,Pittsburgh,0.20759289110577167,-0.21237928737928738,0.28330657785421237,0.5925604919248987,0.8789363488166679,0.8444330373752333,-0.11556104446012704,-0.8311965811965812,-0.222064596611664,0.28523445663531866,0.5411170528817587
24,Austin,0.20331882564148013,-0.501250310099036,0.17507216292230132,0.4972444581280787,0.5295633939228732,0.7629582806231798,-0.20566619250829776,-0.744719015552349,-0.366416671846274,0.24308635131805864,0.39179642227261274
